time_s,day,CHBr3_gas_molecule_cm3,Br_molecule_cm3,BrO_molecule_cm3,HO2_molecule_cm3,OH_molecule_cm3,HOBr_molecule_cm3,CHBr3_aqueous_mol_m3,CFC11_air_mol,CFC11_mixed_mol,CFC11_deep_mol,CFC11_cumulative_air_to_sea_mol,CFC11_cumulative_external_mol,CFC12_air_mol,CFC12_mixed_mol,CFC12_deep_mol,CFC12_cumulative_air_to_sea_mol,CFC12_cumulative_external_mol
0.0,0.0,1000000000.0,0.0,0.0,100000000.0,1000000.0,0.0,5e-09,34730000000.0,48502450.936846346,531101837.75846744,0.0,0.0,77010000000.0,29028585.920775063,317863015.8324869,0.0,0.0
86400.0,1.0,671584579.9025204,170107.78910654978,245186637.2048921,17165219.047614433,284715.3844970655,27772335.461894248,1.1039928535621653e-08,34729917886.31841,48491497.44136189,531113123.58306825,332.32911614436375,-81781.35251349096,77009877125.35614,29022030.7278047,317869770.36806744,199.3426100051946,-122675.30127606973
172800.0,2.0,461984725.941723,184439.2067143469,272680534.23873705,16896416.372150857,288039.2256028025,30431374.679434028,1.4700492750237632e-08,34729675128.24302,48481176.399538584,531124406.45420814,1294.1584327958014,-323577.59859892784,77009513830.15804,29015856.641398262,317876523.1364284,778.0245645880734,-485391.8173979744
259200.0,3.0,328091992.1236811,159604.8067746774,231059315.06142023,17306265.365980856,283024.79806211556,26419823.313272636,1.6853635510477263e-08,34729276967.1115,48471437.571065366,531135686.5380973,2835.4138487461864,-720197.474695831,77008917912.03572,29010035.959363155,317883274.2380832,1708.444184209584,-1080379.520085653
345600.0,4.0,242314192.75693956,126684.62551330973,177877420.55567652,17859903.219709527,276240.2263891813,20992165.74258503,1.8053729754465415e-08,34728728471.543495,48462234.100309946,531146963.9876584,4909.39265429417,-1266619.0638914586,77008096914.83055,29004542.782532204,317890023.7662093,2964.7954793666695,-1900120.3739287092
432000.0,5.0,187098773.82225314,97533.70459577942,133262538.13257734,18352456.547771335,270201.37082810636,16161084.31435337,1.865270819851601e-08,34728034543.23227,48453522.302832305,531158238.9434237,7472.550941915194,-1957984.216825654,77007058136.90793,28999352.902930733,317896771.8071275,4522.9567959155875,-2937340.1352628134
518400.0,6.0,151300290.9577112,75496.25049090521,101038988.07074137,18725457.97125163,265627.21980241715,12501766.95902693,1.887387582960778e-08,34727199922.53557,48445261.464968,531169511.53437614,10484.304030071273,-2789593.1604370032,77005808639.19287,28994443.698726844,317903518.4407492,6360.38621385111,-4185000.420889996
604800.0,7.0,127845334.19044879,60110.90118017302,79280032.37810118,18986025.452101626,262431.4924091836,9945187.878126387,1.8858893370009352e-08,34726229193.87477,48437413.65565936,531180781.87873656,13906.839081848202,-3756899.286180549,77004355252.94182,28989794.035540182,317910263.7409988,8456.023276683349,-5636291.03488862
691200.0,8.0,112244636.50540179,49763.407400621625,64977791.86231942,19161284.5686952,260281.92938219066,8225539.475016499,1.8697610269704662e-08,34725126790.94763,48429943.54982781,531192050.08470094,17704.93921467886,-4855504.113185431,77002704587.25586,28985384.17374481,317917007.77620625,10790.196688785409,-7284622.547434871
777600.0,9.0,101648281.3184666,42877.79016055197,55606750.921001785,19277882.189809695,258851.8507030252,7081477.877069415,1.8446993548314666e-08,34723897001.76305,48422818.26256171,531203316.2511312,21845.818378828986,-6081152.4185929615,77000863036.34767,28981195.68139119,317923750.60947835,13344.537607245247,-9123619.114699485
864000.0,10.0,94246513.15444961,38260.745905208416,49389041.38532984,19356031.02945381,257893.37819992483,6314700.743486912,1.8143137061023784e-08,34722543973.50067,48416007.193527125,531214580.4682016,26298.966414616192,-7429727.53294168,76998836786.56454,28977211.35244246,317930492.29904455,16101.898224764553,-11147111.537233656
950400.0,11.0,88889737.34134127,35098.36254540769,45161703.116833195,19409525.89372468,257237.3154963064,5789851.134485917,1.7808883036617764e-08,34721071717.20614,48409481.88090707,531225842.8180041,31036.003597075,-8897246.790285336,76996631823.1827,28973415.12996463,317937232.89858264,19046.275285004962,-13349130.542020392
1036800.0,12.0,84847469.08505078,32861.55500415155,42187861.45699922,19447335.58638058,256773.65099223156,5418919.88329103,1.7458659960533067e-08,34719484112.325745,48403215.86433613,531237103.37511504,36030.5441370797,-10479857.130153632,76994253936.97734,28969792.03399629,317943972.45752275,22162.738256856755,-15723900.284396108
1123200.0,13.0,81655363.18929784,31213.737368007616,40006303.30030386,19475165.639927074,256432.39851696425,5145918.127518992,1.7101554251373832e-08,34717784911.084236,48397184.55630686,531248362.2071252,41258.068117955256,-12173830.847676974,76991708730.57326,28966328.093827553,317950711.02133363,25437.361898903175,-18265832.06484861
1209600.0,14.0,79018100.38751024,29942.584010326147,38329158.32450042,19496614.899929527,256169.41289284383,4935529.772309329,1.6743261019026964e-08,34715977742.7202,48391365.1214201,531259619.3751361,46695.801242114256,-13975561.478578217,76989001624.59581,28963010.28436101,317957448.63178927,28857.16288804917,-20969518.241290253
1296000.0,15.0,76747734.99355488,28914.430815428066,36976487.66050027,19513948.677083623,255956.90671582043,4765524.924185875,1.6387322781411025e-08,34714066117.56293,48385736.36328994,531270874.9342237,52322.602199582754,-15881559.83489764,76986137863.5986,28959826.466463596,317964185.3272204,32410.040421763242,-23829726.36094431
1382400.0,16.0,74724529.787209,28045.049840511318,35835452.888019234,19528594.29430957,255777.37181269075,4621897.063265872,1.6035916467229622e-08,34712053430.98073,48380278.61830018,531282128.9338726,58118.85685869854,-17888450.162432935,76983122521.81068,28956765.33088609,317970921.14274853,36084.72037245094,-26841393.468912374
1468800.0,17.0,72872079.53011456,27281.24049047995,34835022.6694966,19541453.196530525,255619.75072220594,4495800.232279434,1.5690353313642473e-08,34709942967.22023,48374973.655646496,531293381.4183828,64066.37871523368,-19992966.401082836,76979960508.73161,28953816.345452584,317977656.1105072,39870.702697549896,-29999620.565645766
1555200.0,18.0,71141526.09912318,26589.309101959505,33930316.23293337,19553096.24450099,255477.0410973807,4381632.56101519,1.5351396053962964e-08,34707737903.031624,48369804.58460778,531304632.4272469,70148.31654062838,-22191948.651862808,76976656574.41849,28950969.706043612,317984390.25984573,43758.21262708677,-33299667.368840497
1641600.0,19.0,69501507.20001249,25947.836432036704,33092847.746040493,19563886.303217612,255344.79196279892,4275833.273790637,1.5019460856895522e-08,34705441311.297165,48364755.766046256,531315881.9955076,76349.06623977731,-24482339.636630952,76973215314.78575,28948216.289751578,317991123.6175244,47738.154013759595,-36736947.060186066
1728000.0,20.0,67931791.05870052,25343.153689499584,32304455.52274545,19574054.912274133,255220.16323395894,4176130.30594135,1.4694745179930837e-08,34703056164.40286,48359812.73100835,531327130.15408623,82654.18978054283,-26861181.407386523,76969641176.53218,28945547.611779906,317997856.20789325,51802.06641097731,-40307021.40136779
1814400.0,21.0,66419219.29616931,24766.48781724899,31553485.909320112,19583750.661756456,255101.3323152934,4081065.5828717425,1.4377309216212678e-08,34700585337.63369,48354962.10282887,531338376.9300956,89050.33761043556,-29325612.028733224,76965938462.10982,28942955.784134757,318004588.05306274,55942.083935296076,-44005595.80620913
1900800.0,22.0,64955138.20981229,24212.168218055238,30832402.68777934,19593069.578646682,254987.1213675472,3989696.8343550633,1.4067127427978726e-08,34698031612.31094,48350191.52568169,531349622.34712607,95525.17749368868,-31872862.511594485,76962111334.31718,28940433.47772477,318011319.1730601,60150.89752267712,-47828514.78526164
1987200.0,23.0,63533760.39959723,23676.48970532795,30136274.927752268,19602074.3925793,254876.7609861981,3901408.5375208207,1.3764121368514337e-08,34695397679.00175,48345489.59574096,531360866.42551935,102067.32594622357,-34500253.67234172,76958163821.00598,28937973.88577734,318018049.58597976,64421.718494955756,-51771757.2754733
2073600.0,24.0,62151129.7865087,23156.997607350517,29461827.725757323,19610806.64825587,254769.7416265655,3815793.0570991775,1.3468180393482457e-08,34692686140.273056,48340845.80010345,531372109.18261254,108666.28740194818,-37205193.43957489,76954099819.11665,28935570.691410407,318024779.30811703,68748.24626524563,-55831432.6370334
2160000.0,25.0,60804456.067062706,22652.029625003524,28806835.01280539,19619294.467421643,254665.71839273104,3732574.476657876,1.3179174916775052e-08,34689899513.913666,48336250.454035334,531383350.63298446,115312.39170571853,-39985173.69466545,76949923099.4157,28933218.034174412,318031508.3541037,73124.63501590895,-60003775.949236885
2246400.0,26.0,59491698.67601764,22160.430280427114,28169741.50490503,19627557.386621583,254564.45169611173,3651561.1255234648,1.2896964677554222e-08,34687040235.57374,48331694.6468696,531394590.78866893,121996.74022447041,-42837767.686073326,76945637310.37218,28930910.48125329,318038236.73702615,77545.46501727679,-64285144.16276048
2332800.0,27.0,58211299.65668529,21681.36799869945,27549420.813801106,19635609.45609389,254465.7692434978,3572615.1692516916,1.2621404010744184e-08,34684110661.40828,48327170.190273404,531405829.6593583,128711.15431767853,-45760627.43743633,76941245982.04448,28928642.999883384,318044964.46853757,82005.71515876225,-68672012.24031368
2419200.0,28.0,56962013.32278067,21214.21871141944,26945021.70000019,19643461.2116502,254369.54184943362,3495633.2595575335,1.2352345164903793e-08,34681113070.79226,48322669.56836371,531417067.2525972,135448.12564684678,-48751481.082125105,76936752530.07877,28926410.930697866,318051691.55896527,86500.73640093899,-73160969.18477428
2505600.0,29.0,55742798.63189102,20758.492468511453,26355871.193047997,19651120.917922597,254275.66818621272,3420534.3343273783,1.2089640368781835e-08,34678049668.81259,48318185.89218266,531428303.57395905,142200.77082764116,-51808130.4166156,76932160259.37946,28924209.963394318,318058418.0174092,91026.22754135517,-77748714.39295064
2592000.0,30.0,54552750.454971686,20313.786671367154,25781412.894037403,19658595.360610086,254184.065065982,3347251.8433125243,1.1833143116006952e-08,34674922588.71438,48313712.856717415,531439538.62721217,148962.78861547995,-54928448.4970424,76927472367.71559,28922036.113728162,318065143.8518345,95578.212300424,-82432054.07205266
2678400.0,31.0,53391055.7832661,19879.75634970433,25221167.771254748,19665890.349986102,254094.6612646025,3275728.807224301,1.1582708950799398e-08,34671733894.26229,48309244.70067929,531450772.4144739,155728.41983908822,-58110377.31790378,76922691949.20471,28919885.701956697,318071869.06915724,100153.01785173254,-87207897.77738966
2764800.0,32.0,52256965.767487645,19456.09524384298,24674709.202353258,19673011.04135324,254007.39359088833,3205914.673129188,1.1338195937566384e-08,34668485582.0231,48304776.168844834,531462004.9363544,162492.40988513382,-61351925.567044094,76917821997.68262,28917755.33262987,318078593.67532575,104747.25469339862,-92073255.06264366
2851200.0,33.0,51149777.81926898,19042.523745532115,24141647.051178943,19679962.139309965,253922.20438104027,3137763.309998515,1.1099464930356152e-08,34665179583.57209,48300302.476801135,531473236.1920902,169249.97357724147,-64651166.45436954,76912865409.96313,28915641.875645936,318085317.67539525,109357.79777895051,-97025232.23903948
2937600.0,34.0,50068824.10888345,18638.781193048155,23621617.475985184,19686748.02825421,253839.0398978779,3071231.728095697,1.0866379715839063e-08,34661817767.62589,48295819.27794757,531484466.17966866,175996.7623021238,-68006235.61183867,76907824988.99127,28913542.448495034,318092041.07359827,113981.76883108684,-102061029.23984568
3024000.0,35.0,49013464.12998522,18244.62093134523,23114276.37497342,19693372.856046557,253757.84930462917,3006279.258008848,1.0638807076604818e-08,34658401942.10444,48291322.63261515,531495694.8959434,182728.83324446343,-71415329.06235376,76902703446.8934,28911454.399618283,318098763.8734102,118616.51976627765,-107177936.58677411
3110400.0,36.0,47983079.851399675,17859.807128593853,22619295.141413976,19699840.58792031,253678.58400367864,2942867.0216503474,1.0416616804487725e-08,34654933856.124176,48286808.979172684,531506922.3367419,189442.62060053658,-74876701.25526085,76897503407.92783,28909375.292814456,318105486.0776103,123259.6171624866,-112373332.45494151
3196800.0,37.0,46977072.515584916,17484.112708854158,22136357.8863513,19706155.041484643,253601.19720723366,2880957.5887898295,1.019968168278214e-08,34651415201.92515,48282275.10699727,531518148.4969652,196134.9086484303,-78388663.16624217,76892227411.33905,28907302.892630193,318112207.6883384,127908.82770635857,-117644679.83317965
3283200.0,38.0,45994860.48621422,17117.317994441626,21665159.594850212,19712319.90970601,253525.64365545078,2820514.7515558274,9.987877449317179e-09,34647847616.73402,48277718.13119368,531529373.3706805,202802.8065600935,-81949580.45946336,76886877914.11877,28905235.150673788,318118928.7071485,132562.1045600509,-122989523.77658238
3369600.0,39.0,45035877.765148446,16759.209799946715,21205404.877000235,19718338.77623912,253451.87942840531,2761503.3740115305,9.781082747980497e-09,34644232684.565285,48273135.468954615,531540596.95120686,209443.72484740583,-85557871.70990697,76881457293.67706,28903170.192795962,318125649.13505775,137217.57459146707,-128405488.74827425
3456000.0,40.0,44099572.937462054,16409.58081407124,20756807.09871664,19724215.12588267,253379.86181785996,2703889.289569794,9.579179073498864e-09,34640571937.96281,48268524.81745976,531551819.23119533,216055.35334098316,-89212006.68389793,76875967850.42601,28901106.30708462,318132368.97259265,141873.52641504782,-133890276.0474978
3542400.0,41.0,43185408.39111889,16068.229165241031,20319087.755900677,19729952.351922467,253309.54923721432,2647639.2289527887,9.382050712515988e-09,34636866859.68354,48263884.133218445,531563040.2027022,222635.640606574,-92910504.67589131,76870411810.27953,28899041.93262366,318139088.219832,146528.39919344586,-139441661.3211961
3628800.0,42.0,42292859.71376472,15734.958104916983,19891976.00532864,19735553.7614811,253240.9011559051,2592720.767712328,9.189584682885497e-09,34633118884.325676,48259211.61276591,531574259.85725784,229182.77470967412,-96651932.8996575,76864791327.07138,28896975.648968957,318145806.87644666,151180.7721534044,-145057492.15637454
3715200.0,43.0,41421415.2046039,15409.575766626556,19475208.297231037,19741022.579585332,253173.87804953536,2539102.2863330436,9.001670672384009e-09,34629329399.90273,48254505.67462896,531585478.18592954,235695.16524441485,-100434904.93206753,76859108484.89455,28894906.16629749,318152524.9417367,155829.35477197001,-150735685.75060531
3801600.0,44.0,40570575.46188496,15091.894974038318,19068528.074565034,19746361.952403095,253108.44136018862,2486752.938484018,8.818200977596691e-09,34625499749.36575,48249764.942481846,531596695.1793801,242171.42654787062,-104258079.20773555,76853365300.3642,28892832.316188183,318159242.4146658,160472.97759181695,-156474226.6581294
3888000.0,45.0,39739853.0208538,14781.733081118287,18671685.516700942,19751574.94993733,253044.55346340517,2435642.6245995676,8.639070443440324e-09,34621631232.07517,48244988.22941797,531607910.82792187,248610.362025744,-108120157.56284082,76847563724.80719,28890753.04299553,318165959.2938936,165110.58362694393,-162271164.60909253
3974400.0,46.0,38928772.026142545,14478.911833573951,18284437.313311573,19756664.5683596,252982.17763957652,2385741.9689950095,8.464176403606753e-09,34617725105.224014,48240174.52326753,531619125.1215664,255010.9495198716,-112019883.82650201,76841705646.38005,28888667.39577953,318172675.577805,169741.22032234367,-168124612.39953166
4060800.0,47.0,38136867.92835073,14183.25724471103,17906546.459378146,19761633.73209985,252921.2780483307,2337022.299374729,8.293418622094067e-09,34613782585.21425,48235322.97289559,531630338.0500707,261372.3276522448,-115956042.45813712,76835792892.11806,28886574.5207575,318179391.2645381,174364.03203344543,-174032743.84981123
4147200.0,48.0,37363687.1982557,13894.599481313973,17537782.065476827,19766485.295766678,252861.81970499564,2289455.6280030687,8.126699235919822e-09,34609804848.98767,48230432.87541903,531641549.60297924,267693.78308421787,-119927457.22928919,76829827229.91763,28884473.654245533,318186106.35200983,178978.25299319343,-179993791.82927722
4233600.0,49.0,36608787.054428004,13612.77275674262,17177919.17957794,19771222.0459457,252803.76845855828,2243014.634071444,7.963922699064465e-09,34605793035.31295,48225503.66428433,531652759.76966304,273974.73863331025,-123932989.94845527,76823810370.4542,28882364.11605925,318192820.8379395,183583.2007365722,-186006046.34497464
4320000.0,50.0,35871735.201515704,13337.615229440866,16826738.61790314,19775846.702906482,252747.0909707438,2197672.646961871,7.804995727664081e-09,34601748246.03035,48220534.8981522,531663968.53935534,280214.74219353875,-127971539.22749846,76817743969.03761,28880245.303345427,318199534.719871,188178.26995421504,-192067852.69234574
4406400.0,51.0,35152109.57740777,13068.968905691523,16484026.80322226,19780361.922237854,252691.75469597345,2153403.6302131927,7.649827246453431e-09,34597671547.255356,48215526.25053774,531675175.9011848,286413.45640851377,-132042039.2882776,76811629627.40727,28878116.684817642,318206247.995193,192762.92674844732,-198177609.66588813
4492800.0,52.0,34449498.108089454,12806.679545856809,16149575.609504122,19784770.296424486,252637.72786204287,2110182.166063662,7.498328336448965e-09,34593563970.54283,48210477.5001586,531686381.8442051,292570.64904963796,-136143458.80816796,76805468895.46883,28875977.79537089,318212960.661158,197336.7032667379,-204333767.82782575
4579200.0,53.0,33763498.46938675,12550.596573602204,15823182.212176386,19789074.356373128,252584.9794514164,2067983.440486467,7.350412183854594e-09,34589426514.012794,48205388.52194596,531697586.3574227,298686.1840546737,-140274799.80319548,76799263272.97432,28873828.23105151,318219672.7148997,201899.19268904283,-210534827.8329037
4665600.0,54.0,33093717.855042264,12300.57298776627,15504648.943468362,19793276.572894372,252533.47918306763,2026783.228662169,7.205994030168889e-09,34585260143.439316,48200259.27867629,531708789.42982244,304760.0131846833,-144435096.54754832,76793014211.14787,28871667.644360207,318226384.15344894,206450.044546961,-216779338.80748585
4752000.0,55.0,32439772.750721578,12056.46527664295,15193783.152450211,19797379.35814374,252483.19749481766,1986557.8808493325,7.064991123470005e-09,34581065793.30352,48195089.81318426,531719991.0503897,310792.16825992183,-148623414.52827063,76786723114.25838,28869495.73986749,318233094.9737487,210988.960353952,-223065896.7811826
4838400.0,56.0,31801288.71365034,11818.133334510643,14890397.069474196,19801385.067025017,252434.1055261369,1947284.3086258469,6.927322670853339e-09,34576844367.812126,48189880.24111971,531731191.208132,316782.75393769477,-152838849.43398234,76780391341.14107,28867312.270121716,318239805.1726676,215515.6895271439,-229393143.16930762
4924800.0,57.0,31177900.157647245,11585.440380285856,14594307.674784018,19805295.9985578,252386.1751013847,1908939.9714807067,6.792909791996417e-09,34572596741.88254,48184630.74421373,531742389.8920977,322731.9409974552,-157080526.17650917,76774020206.66982,28865117.03183164,318246514.747013,220030.02558242876,-235759763.3045105
5011200.0,58.0,30569250.143360585,11358.252878205254,14305336.571095936,19809114.39721095,252339.378713467,1871502.8637403157,6.661675473825347e-09,34568323762.095604,48179341.56402119,531753587.0913934,328639.96010056883,-161347597.9443436,76767610983.18134,28862909.862305984,318253223.6935419,224531.80258566746,-242164485.01598352
5097600.0,59.0,29974990.173544113,11136.440460460348,14023309.8599855,19812842.454203207,252293.68950789716,1834951.5018167878,6.5335445262573236e-09,34564026247.617165,48174012.99610904,531764782.79519916,334507.0959941754,-165639245.28689227,76761164901.85336,28860690.636133973,318259932.00897205,229020.8918438742,-248606077.254703
5184000.0,60.0,29394779.994494982,10919.875852435538,13748058.022544269,19816482.30875991,252249.08126739349,1799264.9118862206,6.408443539267868e-09,34559704991.085396,48168645.384668,531775976.99278295,340333.68213694426,-169954675.23251396,76754683154.03185,28858459.26209629,318266639.6899918,233497.1988259363,-255083348.76923522
